lon_dd,lat_dd,station
-55.55,53.68,AR7W_01
-55.4366667,53.7966667,AR7W_02
-55.25,53.9883333,AR7W_03
-55.0233333,54.22,AR7W_04
-54.7566667,54.4916667,AR7W_05
-54.4866667,54.7616667,AR7W_06
-54.295,54.955,AR7W_07
-54.2166667,55.0333333,AR7W_07.5
-54.1383333,55.1116667,AR7W_08
-53.9933333,55.2633333,AR7W_09
-53.8266667,55.42,AR7W_10
-53.7291667,55.5158333,AR7W_10.5
-53.6316667,55.6116667,AR7W_11
-53.5133333,55.7283333,AR7W_11.5
-53.3933333,55.845,AR7W_12
-53.2558333,55.9791667,AR7W_12.5
-53.1166667,56.1133333,AR7W_13
-52.6783333,56.5366667,AR7W_14
-52.4575,56.7466667,AR7W_14.5
-52.2366667,56.9566667,AR7W_15
-52.0141667,57.1666667,AR7W_15.5
-51.7916667,57.3766667,AR7W_16
-51.5658333,57.5883333,AR7W_16.5
-51.34,57.8,AR7W_17
-51.1116667,58.0083333,AR7W_17.5
-50.8833333,58.2166667,AR7W_18
-50.65,58.4283333,AR7W_18.5
-50.4166667,58.64,AR7W_19
-50.1833333,58.8533333,AR7W_19.5
-49.95,59.0666667,AR7W_20
-49.719225,59.262627,AR7W_20.5
-49.475,59.4833333,AR7W_21
-49.313164,59.619223,AR7W_21.5
-49.1666667,59.75,AR7W_22
-49.0333333,59.8666667,AR7W_22.5
-48.9,59.9833333,AR7W_23
-48.7875,60.0791667,AR7W_23.5
-48.675,60.175,AR7W_24
-48.6083333,60.2333333,AR7W_24.5
-48.5416667,60.2916667,AR7W_25
-48.4975,60.3291667,AR7W_25.5
-48.4533333,60.3666667,AR7W_26
-48.4075,60.4066667,AR7W_26.5
-48.3616667,60.4466667,AR7W_27
-48.295,60.5066667,AR7W_27.5
-48.2283333,60.5666667,AR7W_28
-48.20064317,60.6172395,AR7W_28.5
-51,56.5,Bravo
